track_id,source_track_ids,total_visible_time,stationary_segment_start,stationary_segment_end,stationary_segment_duration,is_longest_for_track
1,1 55,11.545,,,0.000,false
2,2,5.789,2.911,4.049,1.138,true
3,3,4.384,,,0.000,false
6,6,1.238,,,0.000,false
7,7,9.337,,,0.000,false
12,12,0.636,,,0.000,false
18,18,0.100,,,0.000,false
21,21,0.502,,,0.000,false
23,23,1.238,,,0.000,false
28,28,8.333,9.002,9.805,0.803,true
33,33 47,8.065,,,0.000,false
39,39,3.648,7.228,8.968,1.740,true
43,43,0.033,,,0.000,false
49,49,0.469,,,0.000,false
51,51,0.000,,,0.000,false
57,57,9.571,16.565,17.937,1.372,true
59,59,1.640,,,0.000,false
62,62,1.372,,,0.000,false
65,65,4.685,,,0.000,false
70,70,2.844,,,0.000,false
71,71,0.100,,,0.000,false
86,86,5.187,,,0.000,false
87,87 115,4.250,,,0.000,false
92,92,0.736,,,0.000,false
93,93 123,8.600,16.163,17.435,1.272,true
103,103 109,2.677,,,0.000,false
110,110,0.770,,,0.000,false
117,117,0.469,,,0.000,false
127,127,0.335,,,0.000,false
128,128,4.986,,,0.000,false
131,131,3.179,,,0.000,false
136,136,1.138,,,0.000,false
141,141 153,0.669,,,0.000,false
142,142,1.238,,,0.000,false
144,144,0.335,,,0.000,false
145,145,0.268,,,0.000,false
150,150,4.652,,,0.000,false
157,157,6.492,,,0.000,false
161,161,57.760,21.551,26.638,5.087,false
161,161,57.760,33.699,74.793,41.094,true
165,165,2.075,,,0.000,false
169,169,0.100,,,0.000,false
170,170 172,0.703,,,0.000,false
171,171,0.033,,,0.000,false
174,174,0.033,,,0.000,false
175,175 183 184,2.844,,,0.000,false
186,186,0.234,,,0.000,false
187,187,3.915,,,0.000,false
188,188,0.033,,,0.000,false
195,195,0.837,,,0.000,false
198,198,0.301,,,0.000,false
200,200,0.335,,,0.000,false
203,203,0.067,,,0.000,false
204,204,3.045,,,0.000,false
223,223 225,1.506,,,0.000,false
236,236,8.098,,,0.000,false
243,243,2.744,,,0.000,false
244,244,0.435,,,0.000,false
245,245 400,15.193,30.553,34.234,3.681,true
252,252,0.134,,,0.000,false
261,261,0.368,,,0.000,false
262,262,0.602,,,0.000,false
263,263,0.167,,,0.000,false
268,268,0.268,,,0.000,false
279,279,1.539,,,0.000,false
282,282,0.100,,,0.000,false
284,284,0.167,,,0.000,false
286,286,0.904,,,0.000,false
288,288,0.837,,,0.000,false
290,290,0.234,,,0.000,false
292,292 376,8.165,37.413,39.956,2.543,true
297,297 344,8.232,42.667,43.805,1.138,true
301,301,1.171,,,0.000,false
308,308 318,1.406,,,0.000,false
310,310,2.008,,,0.000,false
321,321 345 348,3.112,,,0.000,false
322,322 325,6.626,41.697,45.244,3.547,true
326,326 384,7.429,,,0.000,false
332,332,4.317,,,0.000,false
366,366,0.469,,,0.000,false
367,367 375,1.874,,,0.000,false
377,377,1.205,,,0.000,false
378,378,2.844,,,0.000,false
381,380 381,0.134,,,0.000,false
382,382 390,5.455,,,0.000,false
392,392,2.978,,,0.000,false
394,394,6.425,45.311,46.984,1.673,true
395,395 446,5.087,,,0.000,false
397,397 447,3.179,,,0.000,false
405,405 444,3.313,,,0.000,false
412,412 489 490,4.518,,,0.000,false
416,416,0.000,,,0.000,false
418,418,0.167,,,0.000,false
420,420,0.067,,,0.000,false
424,424,2.242,,,0.000,false
435,435 461 471 473,6.459,49.494,51.234,1.740,true
437,437 592 597,24.094,50.230,54.748,4.518,true
445,445,0.067,,,0.000,false
469,469,0.134,,,0.000,false
478,478,0.100,,,0.000,false
482,482 546,4.317,,,0.000,false
497,497,0.402,,,0.000,false
498,498 529,2.911,,,0.000,false
510,510,1.037,,,0.000,false
514,514,1.673,,,0.000,false
519,519,5.589,52.204,54.145,1.941,true
520,520,0.435,,,0.000,false
524,524,5.287,,,0.000,false
526,526,0.535,,,0.000,false
535,535,0.134,,,0.000,false
545,545 556,5.990,,,0.000,false
549,549,3.748,,,0.000,false
554,554 630 631,12.382,55.384,57.358,1.974,true
555,555,0.268,,,0.000,false
559,559 591 601,2.343,,,0.000,false
564,564 573,0.837,,,0.000,false
570,570,0.033,,,0.000,false
580,580 620,1.707,,,0.000,false
590,590,0.033,,,0.000,false
594,594,0.167,,,0.000,false
608,608 637,3.280,,,0.000,false
610,610,0.335,,,0.000,false
612,612,0.301,,,0.000,false
615,615 640,3.380,,,0.000,false
619,619,0.000,,,0.000,false
627,627,0.000,,,0.000,false
628,628 634,9.504,62.244,63.817,1.573,true
629,629,9.604,,,0.000,false
636,636 642,2.577,,,0.000,false
643,643,4.551,,,0.000,false
644,644,0.201,,,0.000,false
645,645,0.167,,,0.000,false
649,649,1.472,,,0.000,false
651,651 687,10.240,,,0.000,false
652,652 711,4.986,,,0.000,false
665,665 689,1.506,,,0.000,false
668,668,0.167,,,0.000,false
670,670,1.171,,,0.000,false
673,673,0.100,,,0.000,false
691,691,7.128,,,0.000,false
696,696 734 738 740,9.470,,,0.000,false
697,697,0.067,,,0.000,false
713,713 721,0.803,,,0.000,false
717,717,4.317,,,0.000,false
718,718,0.100,,,0.000,false
719,719 730,5.254,,,0.000,false
723,723,0.770,,,0.000,false
727,727,0.000,,,0.000,false
736,736,1.238,,,0.000,false
737,737,2.610,,,0.000,false
747,747 751,0.870,,,0.000,false
748,748 800,11.177,75.663,76.700,1.037,false
748,748 800,11.177,77.905,79.880,1.974,true
755,755 833 844 850 851,6.659,,,0.000,false
764,764,5.689,,,0.000,false
766,766 820,5.756,,,0.000,false
775,775 789,2.242,,,0.000,false
779,779,0.100,,,0.000,false
783,783,0.636,,,0.000,false
790,790,0.268,,,0.000,false
797,797,4.116,,,0.000,false
801,801,1.841,,,0.000,false
807,806 807,0.402,,,0.000,false
813,813 831,1.606,,,0.000,false
816,816,0.000,,,0.000,false
819,819,2.175,,,0.000,false
825,825 959,8.031,,,0.000,false
826,826 949,10.474,83.126,85.234,2.108,true
832,832,7.094,80.582,82.189,1.606,true
834,834,0.134,,,0.000,false
856,856,0.067,,,0.000,false
858,858,1.037,,,0.000,false
865,865,0.268,,,0.000,false
866,866 874,0.837,,,0.000,false
871,871,8.734,,,0.000,false
878,878 988,8.333,79.043,83.996,4.953,true
889,889,3.179,,,0.000,false
911,911,0.368,,,0.000,false
921,921,0.201,,,0.000,false
924,924,5.722,,,0.000,false
928,928,1.004,,,0.000,false
937,937,4.417,,,0.000,false
947,947,2.644,81.921,83.895,1.974,true
948,948 965,3.748,,,0.000,false
956,956,3.480,83.728,85.234,1.506,true
961,961,0.000,,,0.000,false
963,963,0.067,,,0.000,false
967,967,0.301,,,0.000,false
978,978 994,1.004,,,0.000,false
981,981,0.636,,,0.000,false
983,983,0.402,,,0.000,false
985,985,0.234,,,0.000,false
992,992,0.402,,,0.000,false
